LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,calving_date,daysfrmcalving,AItimes,firstAI_date,fstAIdaysfrmcalving,lastAI_date,daysfrmlstAI,expDateofnextCalving,opendays,base_date
71,5,妊娠鑑定+,495,1.①群,1234504958,2020/11/7,1,2022/10/6,129,2,2022/12/8,63,2023/1/17,26,2023/10/24,103,2023/2/12
73,5,妊娠鑑定+,497,1.①群,1234504970,2020/10/6,1,2022/10/16,119,2,2022/12/15,60,2023/1/27,16,2023/11/3,103,2023/2/12
75,5,妊娠鑑定+,499,1.①群,1234504992,2020/11/30,1,2022/10/22,113,3,2022/12/14,53,2023/1/26,17,2023/11/2,96,2023/2/12
80,5,妊娠鑑定+,505,1.①群,1234505050,2021/1/23,1,2022/12/15,59,1,2023/2/9,56,2023/2/9,3,2023/11/16,56,2023/2/12
12,5,妊娠鑑定+,313,1.①群,1234503137,2017/10/7,4,2022/11/10,94,1,2023/1/5,56,2023/1/5,38,2023/10/12,56,2023/2/12
25,5,妊娠鑑定+,369,1.①群,1234503698,2018/8/2,3,2022/8/27,169,2,2022/10/27,61,2022/12/15,59,2023/9/21,110,2023/2/12
27,5,妊娠鑑定+,375,1.①群,1234503755,2018/11/24,3,2022/9/16,149,2,2022/11/17,62,2022/12/15,59,2023/9/21,90,2023/2/12
43,5,妊娠鑑定+,404,1.①群,1234504048,2019/4/14,2,2022/7/11,216,4,2022/9/8,59,2022/12/29,45,2023/10/5,171,2023/2/12
44,5,妊娠鑑定+,417,1.①群,1234504172,2019/8/6,2,2022/6/29,228,4,2022/8/25,57,2022/12/16,58,2023/9/22,170,2023/2/12
46,5,妊娠鑑定+,428,1.①群,1234504284,2019/8/28,2,2022/7/10,217,3,2022/9/15,67,2022/12/14,60,2023/9/20,157,2023/2/12
47,5,妊娠鑑定+,431,1.①群,1234504318,2019/8/5,2,2022/9/21,144,2,2022/11/17,57,2022/12/27,47,2023/10/3,97,2023/2/12
52,5,妊娠鑑定+,441,1.①群,1234504419,2019/12/18,2,2022/11/1,103,1,2022/12/29,58,2022/12/29,45,2023/10/5,58,2023/2/12
53,5,妊娠鑑定+,443,1.①群,1234504431,2019/12/2,2,2022/9/30,135,2,2022/11/24,55,2023/1/5,38,2023/10/12,97,2023/2/12
55,5,妊娠鑑定+,449,1.①群,1234504497,2019/12/12,2,2022/11/4,100,1,2022/12/29,55,2022/12/29,45,2023/10/5,55,2023/2/12
64,5,妊娠鑑定+,478,1.①群,1234504789,2020/8/30,1,2022/7/3,224,4,2022/9/8,67,2022/12/14,60,2023/9/20,164,2023/2/12
74,5,妊娠鑑定+,498,1.①群,1234504981,2020/12/8,1,2022/10/21,114,1,2022/12/15,55,2022/12/15,59,2023/9/21,55,2023/2/12
77,5,妊娠鑑定+,502,1.①群,1234505027,2020/11/19,1,2022/11/11,93,1,2023/1/5,55,2023/1/5,38,2023/10/12,55,2023/2/12
98,5,妊娠鑑定+,309,3.③群,1234503092,2017/7/11,4,2022/5/27,261,2,2022/7/28,62,2022/9/15,150,2023/6/22,111,2023/2/12
99,5,妊娠鑑定+,352,3.③群,1234503520,2018/6/23,3,2022/8/13,183,2,2022/10/13,61,2022/11/24,80,2023/8/31,103,2023/2/12
100,5,妊娠鑑定+,356,3.③群,1234503564,2018/4/8,3,2022/4/13,305,5,2022/6/8,56,2022/10/12,123,2023/7/19,182,2023/2/12
101,5,妊娠鑑定+,364,3.③群,1234503643,2018/7/26,3,2022/7/10,217,3,2022/9/29,81,2022/12/1,73,2023/9/7,144,2023/2/12
102,5,妊娠鑑定+,365,3.③群,1234503654,2018/7/12,3,2022/8/12,184,3,2022/10/6,55,2022/12/9,65,2023/9/15,119,2023/2/12
103,5,妊娠鑑定+,367,3.③群,1234503676,2018/11/3,3,2022/6/19,238,1,2022/8/18,60,2022/8/18,178,2023/5/25,60,2023/2/12
104,5,妊娠鑑定+,372,3.③群,1234503722,2018/12/13,3,2022/7/28,199,1,2022/9/22,56,2022/9/22,143,2023/6/29,56,2023/2/12
106,5,妊娠鑑定+,410,3.③群,1234504105,2019/1/17,2,2022/6/11,246,3,2022/8/11,61,2022/9/23,142,2023/6/30,104,2023/2/12
107,5,妊娠鑑定+,414,3.③群,1234504149,2019/6/20,2,2022/3/24,325,3,2022/5/19,56,2022/7/10,217,2023/4/16,108,2023/2/12
108,5,妊娠鑑定+,416,3.③群,1234504161,2019/7/10,2,2022/5/25,263,4,2022/7/21,57,2022/11/24,80,2023/8/31,183,2023/2/12
109,5,妊娠鑑定+,420,3.③群,1234504206,2019/7/19,2,2022/7/7,220,3,2022/9/1,56,2022/10/13,122,2023/7/20,98,2023/2/12
110,5,妊娠鑑定+,421,3.③群,1234504217,2019/6/26,2,2022/8/6,190,3,2022/9/29,54,2022/12/11,63,2023/9/17,127,2023/2/12
111,5,妊娠鑑定+,422,3.③群,1234504228,2019/8/3,2,2022/7/6,221,5,2022/9/1,57,2022/12/12,62,2023/9/18,159,2023/2/12
112,5,妊娠鑑定+,423,3.③群,1234504239,2019/9/5,2,2022/6/24,233,3,2022/8/25,62,2022/11/17,87,2023/8/24,146,2023/2/12
